Ticker,model_avg_return,max_avg_return,model,model_selected_features,threshold,accuracy,precision
A,0.0,0.006748675261669871,"EnhancedDirectionPredictionModel(
  (lstm): LSTM(8, 64, num_layers=3, batch_first=True, dropout=0.2)
  (dropout): Dropout(p=0.2, inplace=False)
  (attention): Linear(in_features=64, out_features=1, bias=True)
  (fc1): Linear(in_features=64, out_features=32, bias=True)
  (fc2): Linear(in_features=32, out_features=2, bias=True)
  (leaky_relu): LeakyReLU(negative_slope=0.01)
  (softmax): Softmax(dim=1)
)","[('avg_range_60d', 'A'), ('avg_volume_60d', 'A'), ('avg_std_60d', 'A'), ('avg_return_20d', 'A'), ('delta_intraday', 'A'), ('price_to_ma_20d', 'A'), ('avg_std_5d', 'A'), ('avg_return_5d', 'A')]",0.65,0.5327102803738317,0.0
AAPL,0.0037030566447762616,0.007871286885358824,"EnhancedDirectionPredictionModel(
  (lstm): LSTM(8, 64, num_layers=3, batch_first=True, dropout=0.2)
  (dropout): Dropout(p=0.2, inplace=False)
  (attention): Linear(in_features=64, out_features=1, bias=True)
  (fc1): Linear(in_features=64, out_features=32, bias=True)
  (fc2): Linear(in_features=32, out_features=2, bias=True)
  (leaky_relu): LeakyReLU(negative_slope=0.01)
  (softmax): Softmax(dim=1)
)","[('avg_return_60d', 'AAPL'), ('avg_volume_20d', 'AAPL'), ('avg_std_5d', 'AAPL'), ('delta_range', 'AAPL'), ('avg_return_5d', 'AAPL'), ('price_to_ma_60d', 'AAPL'), ('avg_volume_60d', 'AAPL'), ('avg_return_20d', 'AAPL')]",0.65,0.6822429906542056,0.8
ABBV,-0.0007507304419085519,0.007480314628647885,"EnhancedDirectionPredictionModel(
  (lstm): LSTM(8, 64, num_layers=3, batch_first=True, dropout=0.2)
  (dropout): Dropout(p=0.2, inplace=False)
  (attention): Linear(in_features=64, out_features=1, bias=True)
  (fc1): Linear(in_features=64, out_features=32, bias=True)
  (fc2): Linear(in_features=32, out_features=2, bias=True)
  (leaky_relu): LeakyReLU(negative_slope=0.01)
  (softmax): Softmax(dim=1)
)","[('delta_high', 'ABBV'), ('delta_open', 'ABBV'), ('avg_std_60d', 'ABBV'), ('delta_overnight', 'ABBV'), ('delta_range', 'ABBV'), ('avg_std_5d', 'ABBV'), ('avg_std_20d', 'ABBV'), ('price_to_ma_5d', 'ABBV')]",0.65,0.411214953271028,0.37037037037037035
ABT,-0.00025415087106862714,0.006356501453277762,"EnhancedDirectionPredictionModel(
  (lstm): LSTM(8, 64, num_layers=3, batch_first=True, dropout=0.2)
  (dropout): Dropout(p=0.2, inplace=False)
  (attention): Linear(in_features=64, out_features=1, bias=True)
  (fc1): Linear(in_features=64, out_features=32, bias=True)
  (fc2): Linear(in_features=32, out_features=2, bias=True)
  (leaky_relu): LeakyReLU(negative_slope=0.01)
  (softmax): Softmax(dim=1)
)","[('avg_volume_60d', 'ABT'), ('avg_volume_5d', 'ABT'), ('avg_range_5d', 'ABT'), ('avg_return_5d', 'ABT'), ('avg_std_5d', 'ABT'), ('avg_range_20d', 'ABT'), ('avg_range_60d', 'ABT'), ('price_location_5d', 'ABT')]",0.65,0.4766355140186916,0.6206896551724138
ACGL,0.0010339486621878907,0.006477637385351759,"EnhancedDirectionPredictionModel(
  (lstm): LSTM(8, 64, num_layers=3, batch_first=True, dropout=0.2)
  (dropout): Dropout(p=0.2, inplace=False)
  (attention): Linear(in_features=64, out_features=1, bias=True)
  (fc1): Linear(in_features=64, out_features=32, bias=True)
  (fc2): Linear(in_features=32, out_features=2, bias=True)
  (leaky_relu): LeakyReLU(negative_slope=0.01)
  (softmax): Softmax(dim=1)
)","[('price_location_60d', 'ACGL'), ('price_to_ma_60d', 'ACGL'), ('avg_return_20d', 'ACGL'), ('avg_return_60d', 'ACGL'), ('price_location_20d', 'ACGL'), ('avg_std_20d', 'ACGL'), ('price_to_ma_20d', 'ACGL'), ('price_to_ma_5d', 'ACGL')]",0.65,0.5046728971962616,0.5
ACN,0.0003932999551241061,0.006138796328275034,"EnhancedDirectionPredictionModel(
  (lstm): LSTM(8, 64, num_layers=3, batch_first=True, dropout=0.2)
  (dropout): Dropout(p=0.2, inplace=False)
  (attention): Linear(in_features=64, out_features=1, bias=True)
  (fc1): Linear(in_features=64, out_features=32, bias=True)
  (fc2): Linear(in_features=32, out_features=2, bias=True)
  (leaky_relu): LeakyReLU(negative_slope=0.01)
  (softmax): Softmax(dim=1)
)","[('avg_std_60d', 'ACN'), ('return', 'ACN'), ('avg_range_60d', 'ACN'), ('delta_overnight', 'ACN'), ('delta_range', 'ACN'), ('delta_low', 'ACN'), ('price_location_5d', 'ACN'), ('avg_std_5d', 'ACN')]",0.65,0.5607476635514018,0.5897435897435898
ADBE,-4.9782961174796845e-06,0.006404082409985488,"EnhancedDirectionPredictionModel(
  (lstm): LSTM(8, 64, num_layers=3, batch_first=True, dropout=0.2)
  (dropout): Dropout(p=0.2, inplace=False)
  (attention): Linear(in_features=64, out_features=1, bias=True)
  (fc1): Linear(in_features=64, out_features=32, bias=True)
  (fc2): Linear(in_features=32, out_features=2, bias=True)
  (leaky_relu): LeakyReLU(negative_slope=0.01)
  (softmax): Softmax(dim=1)
)","[('price_to_ma_5d', 'ADBE'), ('price_location_5d', 'ADBE'), ('return', 'ADBE'), ('avg_volume_60d', 'ADBE'), ('price_to_ma_20d', 'ADBE'), ('avg_return_5d', 'ADBE'), ('delta_intraday', 'ADBE'), ('avg_std_60d', 'ADBE')]",0.65,0.4953271028037383,0.6666666666666666
ADI,-0.0018531649284696144,0.010236007564457894,"EnhancedDirectionPredictionModel(
  (lstm): LSTM(8, 64, num_layers=3, batch_first=True, dropout=0.2)
  (dropout): Dropout(p=0.2, inplace=False)
  (attention): Linear(in_features=64, out_features=1, bias=True)
  (fc1): Linear(in_features=64, out_features=32, bias=True)
  (fc2): Linear(in_features=32, out_features=2, bias=True)
  (leaky_relu): LeakyReLU(negative_slope=0.01)
  (softmax): Softmax(dim=1)
)","[('price_to_ma_20d', 'ADI'), ('price_location_20d', 'ADI'), ('price_to_ma_60d', 'ADI'), ('price_location_5d', 'ADI'), ('avg_return_20d', 'ADI'), ('avg_return_5d', 'ADI'), ('price_location_60d', 'ADI'), ('price_to_ma_5d', 'ADI')]",0.65,0.4672897196261682,0.44
ADM,-0.00021789653091764253,0.0069107851177954505,"EnhancedDirectionPredictionModel(
  (lstm): LSTM(8, 64, num_layers=3, batch_first=True, dropout=0.2)
  (dropout): Dropout(p=0.2, inplace=False)
  (attention): Linear(in_features=64, out_features=1, bias=True)
  (fc1): Linear(in_features=64, out_features=32, bias=True)
  (fc2): Linear(in_features=32, out_features=2, bias=True)
  (leaky_relu): LeakyReLU(negative_slope=0.01)
  (softmax): Softmax(dim=1)
)","[('avg_std_5d', 'ADM'), ('avg_range_5d', 'ADM'), ('avg_volume_20d', 'ADM'), ('avg_range_20d', 'ADM'), ('delta_intraday', 'ADM'), ('avg_return_5d', 'ADM'), ('avg_std_20d', 'ADM'), ('avg_volume_5d', 'ADM')]",0.65,0.4672897196261682,0.4
ADP,0.0015283717897987697,0.005353055371093369,"EnhancedDirectionPredictionModel(
  (lstm): LSTM(8, 64, num_layers=3, batch_first=True, dropout=0.2)
  (dropout): Dropout(p=0.2, inplace=False)
  (attention): Linear(in_features=64, out_features=1, bias=True)
  (fc1): Linear(in_features=64, out_features=32, bias=True)
  (fc2): Linear(in_features=32, out_features=2, bias=True)
  (leaky_relu): LeakyReLU(negative_slope=0.01)
  (softmax): Softmax(dim=1)
)","[('delta_range', 'ADP'), ('avg_return_60d', 'ADP'), ('delta_intraday', 'ADP'), ('price_to_ma_5d', 'ADP'), ('avg_volume_5d', 'ADP'), ('delta_high', 'ADP'), ('avg_return_5d', 'ADP'), ('avg_volume_60d', 'ADP')]",0.65,0.5233644859813084,0.5714285714285714
